sentence,difficulty
"Une vision qui rejoint celle de D. Méda : elle en appelle également à désenchanter le travail, c'est-à-dire à relativiser sa place dans nos sociétés au profit des activités sociales et politiques, qui développent l'autonomie et la coopération.",C2
Les étudiantes se seraient assises sur un banc en vous attendant.,B2
"Quand on était petit, on apprenait à marcher.",A2
"Mais à la fin, monsieur, quelle raison avez-vous de haïr Montfleury ?",B1
"Autrefois, la faune et la flore partout, mais maintenant nos villes ne sont plus que des blocs de béton.",B2
"Il eût fallu que le curé lui-même sût cette langue ; or elle était l'objet de ses mépris ; ses connaissances en ce genre se bornaient à réciter, par coeur, les prières de son missel, dont il pouvait rendre à peu près le sens à ses ouailles.",C2
Un chien comme Djengo est éduqué (ou dressé) pour accompagner une personne aveugle ou qui voit mal et pour l'aider dans ses déplacements quotidiens.,B1
"Le rap, c'est plus pour moi ""boom bap"", un peu ce qui se faisait avant",A2
Je me souviens d'un été durant lequel nous nous étions beaucoup déplacés en caravane,C2
"Les parents de mon mari habitent très loin de chez nous, mais mes parents ont une maison à quelques kilomètres de la nôtre",A1
Le vernissage aura lieu le 22 juin à la Galerie de la Calande.,B2
"Pour moi, les médecins et les infirmières sont des héros sans costume.",A2
"Et on ira manger une gaufre juste après, ça te dit ?",A1
"Il est reconnu utile pour les adultes qui travaillent, surtout pour les médecins, les reporters , ceux qui doivent voyager, ou encore en cas de pépin, de panne sur l'autoroute, d'accident.",B2
Ma femme ma dit que tu es trés gentille.,A2
"J'ai obtenu ce que je voulais, je suis satisfait.",A2
"Un crime immotivé, quel embarras pour la police",C2
Ne pas avaler.,A2
"Ils disaient ça : ""Mais, en fait, j'ai eu tort"".",A2
Vous avez bien entendu ce que le professeur a dit avant?,A2
Vous êtes donc à la rédaction d'Inter spécialiste des questions environnementales et nous fêtons aujourd'hui les trente ans du Conservatoire du littoral.,C1
"Pendant que les humains bavardaient, Mimi le caniche, Fido le berger allemand et moi, on se donnait les nouvelles du quartier et on reniflait les nouveaux arrivants",C1
"Pour être naturalisé, il faut constituer un dossier et remplir certaines conditions.",B2
Le départ est le seul horizon offert à ceux qui cherchent les mille écrins où le destin cache les solutions de ses mille erreurs.,C1
"Quand il recevra cette déclaration, il constatera que tu es sincère et il s'apercevra que tu l'aimes vraiment.",B1
"Au cours des années 1970 et 1980, plusieurs groupes environnementalistes de pays industrialisés d'Europe de l'ouest et d'Amérique du Nord ont organisé des campagnes contre la chasse aux baleines et aux phoques.",C1
"Ces fromages sont en quelque sorte une garantie pour le bien-être des vaches et des chèvres, et pour la préservation du terroir.",B2
Qu'en pensez-vous ?,A1
"En fait, ma mère préfère faire le ménage toute seule parce que moi, je casse tout.",A2
"Et bien, pourquoi pas ?",A2
"Il ne savait rien, sinon qu'elle se rassemblait vers Maubeuge.",B2
Versez peu à peu la farine dans le mélange oeuf-sucre pour éviter les grumeaux,C1
"Fabrice se jeta après elle pour la sauver, et tous deux furent entraînés assez loin.",C1
"Ce soir, je suis allé faire les courses pour notre pique-nique de demain : Nous allons faire une randonnée sur le plus grand volcan de l'île.",A2
Le corgi a l'allure d'un petit renard.,A2
On a dû écouter nos parents,A2
Nous bénéficions de moyens financiers suffisants et justifier les raisons de leur séjour,C1
Instinctivement je regardai ma montre : deux heures du matin.,C1
"les dix minutes, vingt personnes sont autorisées à gravir l'escalier en colimaçon",C2
Tu ne devrais pas prendre le même pull que ton père.,B1
Je savais bien que j'étais assise depuis trop longtemps.,B1
Bruxelles est en droit de défendre les politiques qu'elle conduit.,B1
"Ce qu'il aime par dessus tout, c'est le bricolage.",A2
Il n'y a pas eu de pluie depuis notre arrivée.,B1
"Reprochant aux autorités administratives l'absence de politique forestière à long terme, ils profitent de la durée de leurs permis pour exploiter sans discernement tout ce qui peut se vendre afin d'accroître leurs marges bénéficiaires.",B2
J'ai bien aimé le film,A2
"Jeudi, on va au restaurant pour l'anniversaire de ma soeur.",A2
Les vents ne se calmèrent qu'au petit matin.,A2
Et tous les terrains Nathalie qui ont été acquis par le conservatoire sont effectivement ouverts au public.,C1
"Pour accroître leur compétitivité, les multinationales qui contrôlent, par exemple, les marchés mondiaux du café et de la banane, tirent sans cesse les prix d'achat vers le bas.",C1
"Au bout du petit matin, l'échouage hétéroclite, les puanteurs exacerbées de la corruption, les sodomies monstrueuses de l'hostie et du victimaire, les coltis infranchissables du préjugé et de la sottise, les prostitutions, les hypocrisies, les lubricités, les trahisons, les mensonges, les faux, les concussions - l'essoufflement des lâchetés insuffisantes, l'enthousiasme sans ahan aux poussis surnuméraires, les avidités, les hystéries, les perversions, les arlequinades de la misère, les estropiements, les prurits, les urticaires, les hamacs tièdes de la dégénérescence. Ici la parade des risibles et scrofuleux bubons, les poutures de microbes très étranges, le poisons sans alexitère connu, les sanies de plaies bien antiques, les fermentations imprévisibles d'espèces putrescibles.",C2
"Oui, je l'ai reçue hier.",B1
"Je suis contente, je vais voir Amélie",A1
"Il y a l'eau qu'on consomme en pleine conscience, en la voyant couler et celle que lon consomme, voire que l'on gâche sans le savoir, elle s'appelle ""l'eau virtuelle""",B1
"Ce code, si l'on en jugeait par l'entêtement soudain qu'elle mettait à ne pas vouloir faire certaines commissions que nous lui donnions, semblait avoir prévu des complexités sociales et des raffinements mondains tels que rien dans l'entourage de Françoise et dans sa vie de domestique de village n'avait pu les lui suggérer ; et l'on était obligé de se dire qu'il y avait en elle un passé français très ancien, noble et mal compris, comme dans ces cités manufacturières où de vieux hôtels témoignent qu'il y eut jadis une vie de cour, et où les ouvriers d'une usine de produits chimiques travaillent au milieu de délicates sculptures qui représentent le miracle de saint Théophile ou les quatre fils Aymon.",C2
Ses propos ultra-monarchiques irritaient les populations qu'on voulait plonger dans le sommeil et l'incurie.,C1
Tu n'as pas de stylo ?,A1
"Boum voilà, on arrive, on veut faire du vélo en famille et on a les vacances.",B1
Nous savions pertinemment qu'être aussi justes financièrement n'était pas normal.,B2
"En le voyant, vous comprendez mieux.",B1
"Il l'avait tenue là sévèrement enfermée, cloîtrée, ignorée et ignorante des choses humaines.",C1
"Tout va bien, merci.",A1
A samedi !,A1
"Hier, en raison de violents orages, des villageois ont été privés d'électricité.",B2
"Là encore, la continuité: de tous les choix possibles, la tolérance constitue, quelle que soit l'année, la valeur ou qualité la plus souvent choisie par les enquêtes, commente le chargé de recherche à la Fondation nationale des sciences politiques.",B2
"Ils auraient voulu que ces vacances ne finissent jamais, mais ils rentrés des souvenirs plein la tête",B2
"Serveur : bonsoir, madame, en quoi puis-je vous aider ?",A2
Il y a beaucoup de désordre dans l'appartement.,A1
Il suffit de rester 30 minutes dans la cabine LIRVA pour être capable de se débrouiller dans toutes les situations de la vie quotidienne et dans la langue de son choix.,A1
"Ce réseau de lieux se déploie à l'échelle européenne, non sans rencontrer des barrières linguistiques (l'allemand) ou des frontières difficiles à franchir de la France).",C1
"Dis donc, il fait beau en ce moment ! L'été n'est plus très loin.",B1
Je t'aime.,A1
Son accent est si naturel que cela n'a posé aucun problème.,B1
"Depuis 2006, les particuliers français peuvent recycler des déchets d'équipements électriques et électroniques grâce à la reprise un pour un .",B2
"Après de longs efforts, il parvint à se faire aimer ; et comme il ne m'avait point caché ses revers et ses peines, il se crut obligé de me communiquer ses succès : rien n'égalait ses transports et l'excès de sa joie.",C2
Il joue dans le jardin avec un ballon.,A1
"Souvent plus productif que les autres , il crée un effet fédérateur dans une équipe de travail où les petits problèmes courants sont relativisés .",B1
"C'est quelqu'un sur qui vous pouvez compter, vous pouvez vous fier à lui.",B1
"Une petite marque au front, des cicatrices sur le corps et une démarche légèrement claudicante étaient les seules traces visibles de l'accident qu'elle avait subi un an et demi auparavant.",B2
Cela peut être perçu comme étant très réducteur !,B2
"Ses soutiens la voient comme une militante acharnée de l'écologie, qui n'hésite pas à faire entendre sa voix.",C1
Quel âge tu as ?,A1
"Désormais, il concentra tous les pouvoirs entre ses mains",B2
"Deux drôles effroyables, mais très polis, me firent gracieusement place sur le divan de paille; et le café que je pris là était certainement meilleur que la décoction noire du plus célèbre café de Paris.",C1
"""Parce que les révisions aident à faire retrouver la trace du rangement au sein de sa mémoire, ajoute-t-il",C2
"Dès cette époque, il existe des établissements spécialisés pour la préparation des concours, pour la plupart des institutions privées.",C2
Elles obligent les partenaires à un effort permanent de communication pour maintenir un modus vivendi enrichi d'imagination.,C2
"Mesdames, votre attention, s'il vous plaît.",A1
La mission de l'école a changé.,A2
"Si quelques-uns échappent à cette destinée générale, ils renferment en eux-mêmes leur dissentiment secret ; ils aperçoivent dans la plupart des ridicules le germe des vices : ils n'en plaisantent plus, parce que le mépris remplace la moquerie, et que le mépris est silencieux.",C2
Je t'aurais bien envoyé une photo mais nous n'avons pas d'appareil,B1
"Allons, qui est celui qui veut ouvrir la liste ?",B1
"Et en août, nous passerons peut-être quelques jours dans les montagnes.",B1
"Il n'a fallu que 12 ans, entre 1999 et 2011, pour que la population mondiale passe de 6 à 7 milliards d'habitants",B1
"Yukihiro Kimura, inventeur du recyclage des couches-culottes en combustible, Yonago, Japon.",B2
Je cherchai enfin un raisonnement qui pût me tirer de cette lutte avec honneur à mes propres yeux.,C2
Ils étaient là,A1
"Bien-aimé, maudit soit cet orage qui me retint en mer, m'empêchant de venir à temps !",C1
"De délicieux petits beignets tendres et croustillants à la fois, une recette idéale pour voyager sous le soleil des tropiques",C1
"Lorsque j'aurai terminé mes études, je prendrai une année sabbatique.",B2
"Pour certains auteurs, les conséquences pourraient être une évolution importante de l'organisation traditionnelle de l'entreprise",C2
"Une crise survient à l'issue d'une période de quelques mois, pendant laquelle la pression - professionnelle, familiale ou existentielle - ne cesse de monter.",C1
"Une plaisanterie plus légère, une conversation plus variée, un mélange particulier de mélancolie et de gaieté, de découragement et d'intérêt, d'enthousiasme et d'ironie, étonnèrent et attachèrent Ellénore.",C2
"Un graphe paysager représentant le réseau de prairie au niveau régional (zone englobant essentiellement les plateaux jurassiens du département du Doubs) avait déjà été réalisé dans une étude précédente, à partir d'une carte d'occupation du sol moins précise et dérivée d'une classification d'image satellitaire ; cette première étude avait permis de tester différents paramétrages du graphe, pour représenter avec le plus de validité l'""infrastructure prairiale"" telle qu'elle est perçue par les campagnols terrestres.",C1
Le portable permet aux jeunes de garder un espace privé au sein de la vie familiale.,B2
"En Chine, la Fête des mères a lieu le 2e dimanche de mai.",B1
Le marché fut bientôt conclu.,B2
C'est fini.,A1
"L'inégalité entre pays riches et pauvres, ainsi qu'elle saute aux yeux au mitant du dernier siècle, au moment des décolonisations, n'était ni éternelle, ni inévitable.",C1
"Pendant sa courte période d'activité, le robot a travaillé d'arrache-pied.",B2
"""J'ai accepté la demande de Neera Tanden de retirer"" sa candidature, a annoncé Joe Biden dans un communiqué.",B2
Le chat est arrivé dans le salon et il gratté le fauteuil avec ses griffes.,A1
"Hélas: c'est une interjection qui exprime la plainte, la souffrance, le regret.",B1
"Au collège et au lycée, on pratique l'art de la conversation, celui de la complicité, des petites passions partagées dans un sentiment de légèreté et d'insouciance puisque rien n'est définitif.",B2
La Chandeleur est une fête très ancienne.,A2
L'école ne peut pas tout faire.,A2
Ce magasin n'est pas loins de chez moi,A1
"Pour clore cette monographie du café constantinopolitain, citons-en un autre qui n'est guère fréquenté que par des matelots.",C1
"C'est ce que tâcherait de concevoir une pensée véritablement complexe, inspirée d'Edgar Morin, qui aurait conscience des liens unissant chaque chose.",C2
Il n'est jamais retourné à Brazzaville où il a passé une partie de son enfance.,B1
"Non il ne l'a pas encore reconnu, je crois.",A2
Il y a deux trains pour Lille le matin,A1
"S'il fait tenir dans trois cents pages dix ans d'une vie pour montrer quelle a été, au milieu de tous les êtres qui l'ont entourée, sa signification particulière et bien caractéristique, il devra savoir éliminer, parmi les menus événements innombrables et quotidiens, tous ceux qui lui sont inutiles, et mettre en lumière, d'une façon spéciale, tous ceux qui seraient demeurés inaperçus pour des observateurs peu clairvoyants et qui donnent au livre sa portée, sa valeur d'ensemble.",C1
C'est toujours un plaisir de vous écouter.,A2
"Quand l'homme de condition moyenne devient un grand personnage, les flatteries commencent à se terner et les médisances à fleurir",C2
Soyons réceptif,C1
Il fait très froid ici,A2
"Il n'est guère étonnant, dès lors, que la bifurcation professionnelle et le déménagement prennent des allures de conversion identitaire .",C1
"Dès qu'elle fut rentrée, elle éclata en sanglots",C2
Le rouge est la couleure des tomates et des fraises.,A1
"Chaque fin de semaine, ils partaient ensemble en randonnée dans les Alpes.",C1
"À 60 ans aujourd'hui, on a encore devant soi vingt-cinq, voire trente années , explique Patrice Leclerc, responsable du programme personnes âgées à la Fondation de France.",B2
"Pour se détendre, Théo prend souvent un bain le soir avant de jouer encore un peu et d'aller dormir",A2
"Le chien battit de la queue frénétiquement, puis il rejoignit sa maîtresse en aboyant joyeusement.",C1
"En 1620, le Mayflower - un bateau venu d'Europe - accoste dans une zone inconnue qui deviendra beaucoup plus tard la ville de Plymouth dans le nord des États-Unis actuels",B2
"Auparavant, la duplication de l'ADN se faisait par clonage moléculaire : la séquence d'intérêt était insérée dans le génome d'une bactérie et l'on se servait du taux de croissance élevé du micro-organisme pour obtenir autant de clones de la séquence d'ADN.",C2
Il doit se dépêcher pour ne pas être en retard à l'école.,A2
On doit aussi faire tous les exercices,A1
"Oui, un acte courageux, surtout quand celle-ci va à l'encontre de la frénésie ambiante, de la course aux infos",B1
Tu manges beaucoup.,A1
La journée est longue pour lui,A2
"Bonjour, je m'appelle Igor",A1
Le Net a encouragé des visions utopistes chez d'autres.,C1
Je voudrais bien construire les bâtiments les plus hauts du monde.,B1
"Mais sa voix, on ne l'a pas beaucoup entendue.",A2
"Au début, ça a été très compliqué à mettre en place en fin de compte",A2
Je ne trouve pas le livre que tu cherches.,A1
Il n'aimait pas les plats de la cantine,A1
Nous n'eûmes aucun mal à retrouver l'homme parmi la foule des voyageurs qui convergeaient vers la sortie,C2
"Emma, de même, aurait voulu, fuyant la vie, s'envoler dans une étreinte.",C2
"Hannah regarda les sabots détestables, qui par-dessus le marché étaient vert fluo.",B2
"Une équation, entre autres, porte son nom.",B2
"Elle s'est baignée, elle s'est reposée, elle s'est amusée",A1
Tu pensais toujours à ton amant qui t'avait abandonné sans pitié.,B1
L'école donne des cours de français.,A1
Les salariés qui ont cotisé suffisamment peuvent prendre leur retraite à 60 ans.,B2
"Un aspect qui différencie ces deux premiers profils cantonaux des autres, c'est le caractère de ""planification positive"" qu'ont ces instruments de contingentement spatial : ils indiquent un objectif, un état souhaitable en termes d'extension maximale des surfaces urbanisées à un horizon temporel donné.",C2
Il arrive que le portable brise les amitiés entre jeunes.,B2
"En prenant des cours, tu apprendrais plus vite.",B1
J'aime beaucoup toute ma famille,A2
"D'abord, je dois aller à la boulangerie pour acheter du pain et des croissants",A2
Je lus un roman que je me fus procuré à la bibliothèque centrale,C2
"S'il existe des dizaines de variantes à cette recette, le chef Gérard- Michel Corbin nous propose d'y apporter lui aussi sa touche personnelle",C1
"Ils m'ont expliqué qu'ils n'avaient pas encore vu quelqu'un d'aussi expressif, et qu'ils allaient me recontacter.",B1
"Les impôts sur le revenu et la fortune des personnes physiques, sur le bénéfice et le capital des personnes morales ainsi que sur les bénéfices immobiliers sont des impôts directs que les cantons doivent prélever selon la LHID.",C1
Une étude menée par des chercheurs de l'université McGill au Canada vient apporter de nouveaux éléments sur cette étape.,C2
J'ai entendu dire que le maire souhaitait supprimer le festival de chants folkloriques.,B2
"Avec son repas en famille autour de sa traditionnelle dinde farcie, Thanksgiving est considérée comme une fête aussi importante que Noël aux États-Unis et au Canada",B2
"En Amérique centrale, c'est Francia Márquez qui a réussi à organiser les femmes de la Toma dans la région de Cauca et à faire pression sur le gouvernement colombien pour arrêter l'exploitation illégale de l'or sur les terres ancestrales",B1
"On a un prof super cool, genre métissé, cheveux hirsutes, fringues cooles et classes.",C1
"Utiliser des stoppeurs externes (horloge, messages d'avertissement), parler de ses affects négatifs à des proches, faire de la relaxation, de la méditation, du sport, se rappeler les conséquences négatives d'une consommation excessive (encourager un discours critique, peser le pour et le contre), surfer sur l'envie (la laisser venir, résister et attendre qu'elle passe)., autant de moyens pour essayer d'endiguer ces envies devenues incontrôlables.",C2
"Le soir, nous avons mangé dans un excellent restaurant",A2
C'est un spectacle magique,A1
"En effet, de nombreux concepts peuvent être abordés sans ordinateur.",B2
Comment allez-vous aujourd'hui ?,A1
Il a un appartement,A2
"Le Père Éternel eut compassion du pauvre homme; il écrivit un mot, en lettres d'or, sur une feuille qu'il cueillit d'un arbre dans le Paradis.",B1
"J'ai voulu lui offrir le café mais Marie n'a pas voulu : ""chacun sa part"".",A2
"Ainsi en a décidé le très puritain George Bush, avec la bénédiction de la féministe Hillary Clinton.",C1
66 % des sympa-thisants de gauche y sont favorables contre 82 % des sympathisants de droite,C2
"Selon moi, le risque est trop grand pour qu'on le prenne.",B1
"À mesure que nous nous servons des ordinateurs comme intermédiaires de compréhension du monde, je crains que notre propre intelligence ne devienne artificielle.",C1
Deux constats récents ont imposé le débat.,C1
"Née en 1776, elle est l'une des premières mathématiciennes françaises autodidactes.",B2
Le lien entre l'acteur et l'acte commis est inexistant,C2
"Sortons, faisons quelquechose, n'importe quoi, juste pour bouger un peu!",B1
Le voyageur a été le favori du Prince.,B1
"C'est pourquoi, si près de 50 % de nos essais sont sous-traités, nous gagnerons en souplesse et éviterons la baisse momentanée de nos effectifs.",B2
Je ne me le suis jamais demandé.,A2
"Je ne nie pas que parfois, c'est ma faute.",A2
Elle se classe première parmi les meilleures de sa catégorie.,B2
"Oui, je vais le faire !",A2
Et pas qu'une.,A1
C'est un hôtel au bord de la mer,A1
La cuisine française est engoncée dans ses traditions et refuse d'en sortir.,B2
C'est ici que je cuisine des gâteaux et des pâtisseries,A2
Elle est petite.,A1
"Si la notion de patriotisme peut sembler marquée à droite, les chantres du patriotisme économique et leurs discours plus culpabilisants qu'encourageants sont de tous bords politiques : de l'extrême droite à l'extrême gauche sans oublier les écologistes",B2
Je vous ouvre un compte.,A2
"C'étaient de ces chambres de province qui - de même qu'en certains pays des parties entières de l'air ou de la mer sont illuminées ou parfumées par des myriades de protozoaires que nous ne voyons pas - nous enchantent des mille odeurs qu'y dégagent les vertus, la sagesse, les habitudes, toute une vie secrète, invisible, surabondante et morale que l'atmosphère y tient en suspens ; odeurs naturelles encore, certes, et couleur du temps comme celles de la campagne voisine, mais déjà casanières, humaines et renfermées, gelée exquise, industrieuse et limpide de tous les fruits de l'année qui ont quitté le verger pour l'armoire ; saisonnières, mais mobilières et domestiques, corrigeant le piquant de la gelée blanche par la douceur du pain chaud, oisives et ponctuelles comme une horloge de village, flâneuses et rangées, insoucieuses et prévoyantes, lingères, matinales, dévotes, heureuses d'une paix qui n'apporte qu'un surcroît d'anxiété et d'un prosaïsme qui sert de grand réservoir de poésie à celui qui les traverse sans y avoir vécu.",C2
L'opinion se convainc de l'inanité du bellicisme.,C2
Régine Lemoine-Darthois et Elisabeth Weissman ont fait le même constat.,C1
"L'indispensable travail de reconstruction est professionnel et social souvent, psychologique et amoureux parfois.",C1
"Bonsoir, J'ai une réservation pour 21h au nom de Smith.",A2
"Dans une analyse publiée le 3 mars, UBS estime que l'ensemble du marché est délicat. En Chine et en Corée du Sud, les deux pays où la livraison de repas est la plus développée, les bénéfices opérationnels sont possibles.",C1
"Et, pour finir, cet aphorisme redoutable, maître-mot de la pensée de la complexité : ""Tout ce qui isole un objet détruit sa réalité même6.",C2
"S'obstiner à acheter 100 pour cent français reviendrait à vivre sans réfrigérateur, sans lave linge, sans smartphone, sans ordinateur. Autrement dit, les plus patriotes et les plus écolos devront soit mettre de l'eau dans leur vin soit revenir à un mode de vie d'un autre âge",B2
"Si nous avions plus d'argent, nous achèterions un tableau de Matisse.",B1
"Selon l'Organisation mondiale de la santé (OMS), on comptait environ 200 millions d'obèses dans le monde en 1995.",C1
"Aujourd'hui, j'ai mangé une mousse au chocolat parce que je ne suis pas à la diète.",A2
"En parallèle, l'essor des nanotechnologies stimule la miniaturisation et la mobilité de ces outils auxquels il s'agira de greffer des systèmes énergétiques aussi petits que possible.",C1
"À chaque respiration elle sentait la fumée entrer dans ses poumons, tel un insidieux poison.",B2
Ils vont souvent à l'opéra,A1
"Enfermés dans la souricière d'amour, condamnés aux travaux d'amour à perpétuité, ils étaient couchés l'un près de l'autre, beaux, tendres aimants et sans but.",C2
Les hommes la découpent et la placent au-dessus de la flamme.,A2
"Une fois déchiquetées et séchées, elles sont alors agglomérées en petits cylindres appelés ""palettes"".",B2
"Grâce aux actions concertées de ces organisations, des milliers d'enfants sont chaque année tirés des griffes de la violence et de la guerre.",B1
Tu remplis le pot d'eau et tu mets des glaçons.,A2
Les ignorer en restant nostalgique est inconscient.,C1
"Il s'arrêtait, se baissait, et, lorsqu'elle approchait, de son petit pas hésitant, il sautait en l'air comme les diables enfermés en des boîtes, puis il s'élançait d'une enjambée à l'autre bout du salon.",C2
"Ensuite, Marie et moi, on est allés regarder dans une librairie et on a trouvé un livre de contes pour enfant très joli.",B1
La biographie est une friandise mais le quotidien de l'écrivain public se nourrit des innombrables demandes de services ponctuels formulées par les particuliers et les entreprises.,C1
"Si cette actrice avait accepté le rôle, elle aurait été formidable.",B1
On eût difficilement imaginé un plus baroque assemblage de vêtures surannées,C2
A cette très grande mortalité correspond une durée moyenne de vie relativement courte.,C1
Et ils étaient plus de mille.,B1
J'habite à Rouen mais je travaille à Paris,A1
Tu l'appelles chaque jour jusqu'à ce qu'il te donne une réponse.,B1
Il joue au football depuis cinq ans.,A1
"C'est vraiment génial d'être en ville et d'avoir les monuments, les musées et la plage au même endroit",B1
"Ainsi, ils gagnent en efficacité et l'employeur en profite.",B2
"Tout le monde était tondu à neuf, les oreilles s'écartaient des têtes, on était rasé de près ; quelques-uns même qui s'étaient levés dès avant l'aube, n'ayant pas vu clair à se faire la barbe, avaient des balafres en diagonale sous le nez, ou, le long des mâchoires, des pelures d'épiderme larges comme des écus de trois francs, et qu'avait enflammées le grand air pendant la route, ce qui marbrait un peu de plaques roses toutes ces grosses faces blanches épanouies.",C2
"Le bâtiment principal, qui vient d'être rénové, a l'air tout neuf et ils ont peint les mursen couleurs pastels",B2
Il y a aussi les personnages dotés d'un pouvoir politique séculier exceptionnel : les rois.,C2
Pour preuve : les Bédouins ont fait du thé à la menthe brûlant un véritable rituel et en consomment plusieurs fois par jour.,B2
"Onze heures sonnèrent, je me rendis auprès d'Ellénore : elle m'attendait.",C2
Je vais fermer la porte à clé par sécurité.,A2
"Pour vérifier que vous avez bien compris, répondez à ces questions.",A2
Un mode de travail dont ils sont habituellement privés dans un enseignement transmissif.,C2
"C'est dans le Sahara qu'il fait le plus chaud sur Terre, où des températures de plus de 50 °C ne sont pas rares.",A2
Je travaillais lorsqu'il est arrivé par surprise derrière moi.,A2
"Ainsi, Pierre a le privilège d'admirer chaque jour l'un des monuments les plus visités au monde",A1
Ma mère s'appelle Marie.,A1
Certains vagabonds tiennent minutieusement leur propre guide de voyage et monnayent leurs informations.,C2
Une autre organisation qui produit sa part d'impact sur les peuples autochtones de la côte est la Commission baleinière internationale .,C1
J'en connais qu'une seule : Valérie,A2
J'aime beaucoup ceux avec la tour Eiffel.,A1
"Beaucoup voient leur nid familial sous un nouveau jour : ""Les appartements parisiens des arrondissements historiques sont peut-être plein de charme, mais ils sont surtout trop petits"", se moque le Wall Street Journal.",B2
Ils furent allés acheter une panoplie de produits d'entretien pour décrasser leur garage.,C1
On doit toujours écouter ses parents,A1
Qu'est-ce que vous voulez ?,A2
"J'aimai, je respectai mille fois plus Ellénore après qu'elle se fut donnée.",C2
"s'ils ont la garde légale de leur progéniture, ils doivents absolument montrer les papiers légaux de garde",C1
Juste un petit peu.,A1
"Voilà, monsieur",A1
"Personnalité clivante au sein de la majorité, la ministre de la transition écologique, Barbara Pompili, a la lourde tâche de redorer le bilan environnemental d'Emmanuel Macron pour l'élection présidentielle de 2022.",C1
Je promettais de dire la vérité.,A2
"Plusieurs années avant de se faire connaitre sous le nom de Saul Goodman, James McGill était un arnaqueur à Cicero et comptait sur son frère Charles McGill, un grand avocat, pour sortir de prison quand il était arrêté.",C1
"Après quelques mois de cette pauvreté noble, assiégée par les lettres continuelles de Limercati, et même du comte N. qui lui aussi voulait épouser, il arriva que le marquis del.",C1
"Dès que j'eus dégusté mon repas, je me sentis apaisé.",C2
"Pour conjurer les deux mois de vacances, ils achètent donc leur potion en librairie pour uninvestissement moyen de 7 euros.",C2
Le débat porte plutôt sur l'utilité d'une telle mesure.,B1
"Cette façon d'entrer dans les pensées des personnages presque par effraction, sans s'excuser, et de naviguer dans un océan à l'amplitude universelle : les méandres des souvenirs qui à la fois hantent et illuminent nos vies.",C1
"C'est ici, Monsieur.",A1
Sa grossesse se passe bien et elle travaille toujours dans le même restaurant.,B1
"Une fois rentrés chez eux, les élèves que j'ai pu étudier au lycée Dorian vont sur des plates-formes, alors pas forcément les plates-formes académiques type ENT, mais vont par exemple sur Facebook, ils coopèrent, ils s'échangent des informations sur les cours, sur les exercices.",C2
"Si tu as mal au dos, je peux te faire un massage, ça aide souvent.",B1
"Son fils l'aide, mais il est encore très jeune : il n'a que treize ans, ce n'est pas encore un guerrier.",A2
"Le ministre de l'Education a lancé un appel d'offres aux associations pour introduire en primaire une initiation au code informatique , facultative, sur les temps périscolaires dégagés par la réforme des rythmes scolaires.",C2
"Moi-même, je suis séduit par la coincidentia oppositorum, la nécessité de maintenir ensemble les contraires.",C2
Le livre est mis en vitrine par les libraires,A2
"Entre 47 et 53 ans, un chômeur a 1 chance sur 10 de retrouver un contrat à durée indéterminée, déplore Jacques Gosselin, qui a créé il y a un an la Fédération interrégionale pour le développement de l'emploi des seniors.",C1
Mais trop de gens sont encore désarmés face aux ordinateurs.,C2
Il est allé chez le dentiste pour enlever une dent hier matin avant d'aller au travail.,A2
"Dernièrement, le ministre de l'éducation nationale a souhaité durcir l'interdiction des téléphones portables au collège qui existe déjà, mais qui, en pratique, n'est pas suffsamment appliquée parce qu'aucune sanction n'est prévue.",B2
"Je m'occuperai des enfants ce week-end-là, j'ai déjà posé mes congés.",B1
"Une opération à renouveler 2 à 3 fois, avant de l'émietter le plus finement possible, la chiquetailler, comme on dit aux Antilles",C1
Je lui ferai découvrir les villes de Lyon et de Montpellier.,B1
"Enfin, vous signerez avec votre certificat électronique l'ensemble de ces éléments avant de cliquer sur envoi .",B2
"Le chat a voulu s'asseoir dans le fauteuil, mais Simon n'a pas voulu.",A1
C'est pas mal.,A1
"Au bout de trois ans et trois jours, le prince a enfin découvert l'enchanteresse?",B1
"A chaque épée de lumière jaillie du sable, d'un coquillage blanchi ou d'un débris de verre, mes mâchoires se crispaient.",C1
"Je voudrais réserver une chambre double pour deux nuits, s'il vous plaît.",A1
"À l'extrémité de la digue on voyait s'élever, sur les dessins du fameux marquis Gagnola, une chapelle bâtie tout entière en blocs de granit énormes, et, dans la chapelle, Marchesi, le sculpteur à la mode de Milan, lui bâtissait un tombeau sur lequel des bas-reliefs nombreux devaient représenter les belles actions de ses ancêtres.",C1
"Pour notre entreprise, externaliser, c'est se concentrer sur nos activités principales, recherche et commercialisation, que nous maîtrisons parfaitement et faire réaliser par des intervenants extérieurs les activités de production et les essais cliniques.",B2
Nous aurions de toute évidence du mal à les rendre.,B1
"Yukihiro a déjà investi 2, 3 millions d'euros dans son procédé unique au monde, qui vient d'être installé, à la demande du maire, dans la commune d'Uki, au sud du pays.",B2
Plusieurs personnes qui ont vécu ces jours tourmentés racontent.,C1
Le soleil aplatissait le chemin du Quai à grands coups de langue,C2
"Le vêtement est comme un enduit ; il met tout en relief, et la toilette a été inventée bien plutôt pour faire ressortir des avantages corporels que pour voiler des imperfections.",C2
"J'étais assez calme, j'avais beaucoup de copains et je passais des heures avec eux tous les jours",A1
